Ambas;15;25;ResultC;W;FTS;CS;BTS;TG;GF;GA;1.5;2.5;3.5;W1;FTS1;CS1;BTS1;TG1;GF1;GA1;1.51;2.51;3.51
0;0;0;1;0,71;0,14;0,57;0,36;2,93;2,43;0,50;0,71;0,43;0,36;0,31;0,46;0,54;0,31;1,54;0,92;0,62;0,38;0,23;0,15
1;1;0;0;0,67;0,00;0,33;0,67;2,67;1,67;1,00;0,83;0,50;0,17;0,33;0,33;0,50;0,50;1,67;0,83;0,83;0,50;0,50;0,00
1;1;0;0;0,67;0,33;0,50;0,33;2,33;1,83;0,50;0,50;0,33;0,33;0,33;0,33;0,33;0,50;2,17;0,83;1,33;0,67;0,50;0,17
1;1;1;1;0,64;0,18;0,36;0,64;2,09;1,45;0,64;0,73;0,45;0,09;0,25;0,33;0,17;0,58;2,50;1,08;1,42;0,75;0,42;0,33
0;0;0;0;0,33;0,44;0,22;0,44;2,56;1,11;1,44;0,67;0,44;0,33;0,14;0,71;0,14;0,29;2,14;0,71;1,43;0,71;0,29;0,14
0;1;1;1;0,25;0,25;0,25;0,58;2,50;1,17;1,33;0,75;0,33;0,17;0,25;0,25;0,33;0,67;2,50;1,33;1,17;0,75;0,50;0,25
1;1;1;0;0,33;0,33;0,11;0,56;2,89;1,22;1,67;0,78;0,67;0,22;0,62;0,25;0,50;0,38;2,88;1,75;1,13;0,62;0,50;0,38
0;1;0;0;0,60;0,20;0,40;0,40;2,60;1,80;0,80;0,80;0,60;0,20;0,20;0,67;0,00;0,33;0,67;2,33;1,67;0,67;1,00;0,33
1;1;1;1;0,60;0,00;0,00;1,00;3,40;2,00;1,40;1,00;0,80;0,40;0,20;0,40;0,20;0,40;2,40;0,60;1,80;0,80;0,40;0,20
1;1;1;1;0,50;0,17;0,17;0,67;3,50;1,67;1,83;0,83;0,67;0,50;0,17;0,33;0,17;0,67;3,00;1,50;1,50;0,67;0,50;0,50
1;1;1;1;0,00;0,80;0,40;0,20;1,00;0,20;0,80;0,40;0,00;0,00;0,20;0,00;0,20;0,80;4,40;1,80;2,60;1,00;1,00;0,60
